Chr,Start,End
Scate-ma3,172622465,172629814
Scate-ma3,181189369,181217325
Scate-ma3,187585894,187606179
Scate-ma3,192325844,192344636
Scate-ma3,194336428,194359698
Scate-ma4,1697907,1711574
Scate-ma4,1842583,1854148
Scate-ma4,61302177,61335294
Scate-ma4,63231395,63244575
Scate-ma4,64332346,64341517
Scate-ma4,73437949,73478618
Scate-ma4,97233406,97239338
Scate-ma4,111891891,111895422
Scate-ma5,210537,228552
Scate-ma5,948873,964359
Scate-ma5,2366755,2378130
Scate-ma5,3963569,3986517
Scate-ma5,7726719,7742024
Scate-ma5,24038765,24041303
Scate-ma5,41235968,41238889
Scate-ma5,41761602,41780189
Scate-ma5,44219085,44228936
Scate-ma5,49819132,49858325
Scate-ma5,51244018,51274987
Scate-ma5,53199408,53203363
Scate-ma5,81357917,81387836
Scate-ma5,84374008,84418440
Scate-ma6,158641,188838
Scate-ma6,1527318,1528897
Scate-ma6,2404014,2414379
Scate-ma6,6707041,6724030
Scate-ma6,16646361,16669552
Scate-ma6,33773360,33804943
Scate-ma6,62466948,62529732
Scate-ma6,65832108,65846701
Scate-ma6,76043425,76071117
Scate-ma6,81420789,81443850
Scate-ma6,87300480,87305257
Scate-ma7,345751,352017
Scate-ma7,336349,338083
Scate-ma7,279555,282197
Scate-ma7,7050054,7099168
Scate-ma7,7778574,7785929
Scate-ma7,18281132,18297686
Scate-ma7,19248879,19265720
Scate-ma7,64376395,64382454
Scate-ma7,68628772,68659206
Scate-mi10,997620,1017374
Scate-mi10,3146082,3154046
Scate-mi10,5062125,5069520
Scate-mi10,6348807,6351368
Scate-mi1,1134761,1143243
Scate-mi1,2579605,2594484
Scate-mi1,4537393,4550401
Scate-mi1,4627856,4639182
Scate-mi1,5209745,5215172
Scate-mi1,9285698,9292691
Scate-mi1,10004146,10009962
Scate-mi1,11504746,11510412
Scate-mi1,11874301,11891718
Scate-mi1,14044715,14052949
Scate-mi1,14932686,14934353
Scate-mi1,15738930,15766735
Scate-mi1,19331325,19345572
Scate-mi1,22031700,22044760
Scate-mi2,436501,448631
Scate-mi2,604635,607737
Scate-mi2,1621326,1627258
Scate-mi2,2276988,2280749
Scate-mi2,2809003,2810436
Scate-mi2,4039291,4043719
Scate-mi2,4563233,4570130
Scate-mi2,9858239,9868370
Scate-mi2,16034063,16041066
Scate-mi2,16151403,16168983
Scate-mi2,17891454,17906604
Scate-mi2,19700481,19707435
Scate-mi2,19651728,19664186
Scate-mi3,110704,112764
Scate-mi3,1969624,1976439
Scate-mi3,1977600,1988211
Scate-mi3,3652101,3693429
Scate-mi3,7993946,7997272
Scate-mi3,9103615,9114060
Scate-mi3,14449249,14451324
Scate-mi3,18931483,18943906
Scate-mi4,1906028,1912862
Scate-mi4,1978099,1998974
Scate-mi4,2185859,2192158
Scate-mi4,2317062,2333328
Scate-mi4,7935857,7938161
Scate-mi4,17093530,17097070
Scate-mi4,17221384,17247391
Scate-mi4,17082130,17085413
Scate-mi5,3864637,3877613
Scate-mi5,6199345,6202526
Scate-mi5,6759931,6772527
Scate-mi5,11228364,11236877
Scate-mi5,11205770,11219332
Scate-mi5,15810474,15830897
Scate-mi6,2352692,2367159
Scate-mi6,2157795,2165121
Scate-mi6,2515340,2518268
Scate-mi6,4679300,4687415
Scate-mi6,5444524,5448569
Scate-mi6,8162894,8181702
Scate-mi6,8893856,8898952
Scate-mi6,9107320,9119086
Scate-mi6,13717260,13721032
Scate-mi6,13840158,13857181
Scate-mi6,15051557,15055505
Scate-mi7,2045733,2048625
Scate-mi7,3748292,3761278
Scate-mi7,5673865,5691532
Scate-mi7,8370082,8370822
Scate-mi7,9621125,9629298
Scate-mi7,9999983,10001577
Scate-mi7,10906301,10917634
Scate-mi7,11392653,11403106
Scate-mi7,11647515,11657695
Scate-mi8,1167618,1171962
Scate-mi8,2564080,2578669
Scate-mi8,3716671,3719201
Scate-mi8,4040369,4055368
Scate-mi8,4628335,4633632
Scate-mi8,5519768,5524291
Scate-mi8,6066153,6066944
Scate-mi8,6099994,6100665
Scate-mi8,8467697,8472874
Scate-mi9,482836,489577
Scate-mi9,646313,652229
Scate-mi9,2779859,2808141
Scate-mi9,5709007,5724186
Scate-mi9,6410985,6412112
Scate-mi9,7805023,7814619
Scate-mi9,8189019,8211598
Scate-un273,28759,34785
Scate-un2,613054,621912
Scate-un2,567808,576832
Scate-un71,166540,172459
Scate-Z,556002,565186
Scate-Z,623385,635472
Scate-Z,1811561,1837022
Scate-Z,2327792,2332200
Scate-Z,2876902,2878410
Scate-Z,4281822,4283549
Scate-Z,6240038,6241930
Scate-Z,7397980,7400281
Scate-Z,7469610,7477819
Scate-Z,9286383,9296275
Scate-Z,10754231,10768158
Scate-Z,12431196,12441858
Scate-Z,15490952,15513495
Scate-Z,17041680,17069392
Scate-Z,18046635,18053396
Scate-Z,19549972,19550425
Scate-Z,19796020,19799670
Scate-Z,19910486,19911436
Scate-Z,20285931,20287511
Scate-Z,20293250,20304826
Scate-Z,20595195,20597583
Scate-Z,20935511,20946694
Scate-Z,24224262,24255917
Scate-Z,24392614,24413633
Scate-Z,30046482,30062978
Scate-Z,34668730,34671628
Scate-Z,37392418,37401295
Scate-Z,41556387,41570031
Scate-Z,52703830,52729229
Scate-Z,53163112,53177313
Scate-Z,82654973,82695110
Scate-Z,114260571,114297300
Scate-Z,114591585,114604814
Scate-Z,124866246,124868630
