CHROM POS
Scate-ma1 207120289
Scate-ma1 208120318
Scate-ma1 212121848
Scate-ma1 213121854
Scate-ma1 214124572
Scate-ma1 215125691
Scate-ma1 216126407
Scate-ma1 217126445
Scate-ma1 219127055
Scate-ma1 220127556
Scate-ma1 224129200
Scate-ma1 225129231
Scate-ma1 227131747
Scate-ma1 230133246
Scate-ma1 231133248
Scate-ma1 232133610
Scate-ma1 235135044
Scate-ma1 236139360
Scate-ma1 238140965
Scate-ma1 239141175
Scate-ma1 241141511
Scate-ma1 243142345
Scate-ma1 244143232
Scate-ma1 245148640
Scate-ma1 247149331
Scate-ma1 248149450
Scate-ma1 250149942
Scate-ma1 252150326
Scate-ma1 253150489
Scate-ma1 257152268
Scate-ma1 258152276
Scate-ma1 259153589
Scate-ma1 262154839
Scate-ma1 266155729
Scate-ma1 268156422
Scate-ma1 270156492
Scate-ma1 271156513
Scate-ma1 275161164
Scate-ma1 276161181
Scate-ma1 278161784
Scate-ma1 280161978
Scate-ma1 282162092
Scate-ma1 284162427
Scate-ma1 289164377
Scate-ma1 294166320
Scate-ma1 296167317
Scate-ma1 298171736
Scate-ma1 299173825
Scate-ma1 300173827
Scate-ma1 302176568
Scate-ma1 303178083
Scate-ma1 309182305
Scate-ma1 310184118
Scate-ma1 312185860
Scate-ma1 313188567
Scate-ma1 314188581
Scate-ma1 318191106
Scate-ma1 319191131
Scate-ma1 321191605
Scate-ma1 323192936
Scate-ma1 324193124
Scate-ma1 327194878
Scate-ma1 328194932
Scate-ma1 331195092
Scate-ma1 332195402
Scate-ma1 334196148
Scate-ma1 335196481
Scate-ma1 336196891
Scate-ma2 137
Scate-ma2 3000823
Scate-ma2 6001214
Scate-ma2 7001279
Scate-ma2 9001740
Scate-ma2 10001758
Scate-ma2 12004023
Scate-ma2 13004102
Scate-ma2 14004128
Scate-ma2 15004255
Scate-ma2 16004412
Scate-ma2 17004511
Scate-ma2 18004632
Scate-ma2 19004987
Scate-ma2 20005234
Scate-ma2 21006189
Scate-ma2 22006413
Scate-ma2 26010350
Scate-ma2 27010679
Scate-ma2 29010846
Scate-ma2 30011574
Scate-ma2 31011775
Scate-ma2 32011935
Scate-ma2 33012016
Scate-ma2 34012058
Scate-ma2 35012935
Scate-ma2 38014405
Scate-ma2 39014572
Scate-ma2 41015274
Scate-ma2 43015379
Scate-ma2 46015998
Scate-ma2 49016945
Scate-ma2 50017889
Scate-ma2 51017913
Scate-ma2 53018529
Scate-ma2 55019488
Scate-ma2 56019491
Scate-ma2 57020418
Scate-ma2 58020457
Scate-ma2 59020519
Scate-ma2 63022515
Scate-ma2 64022543
Scate-ma2 66023661
Scate-ma2 67023685
Scate-ma2 68023932
Scate-ma2 69024518
Scate-ma2 70024791
Scate-ma2 71024925
Scate-ma2 74025589
Scate-ma2 77027655
Scate-ma2 79027815
Scate-ma2 80027815
Scate-ma2 83028228
Scate-ma2 85028291
Scate-ma2 86028305
Scate-ma2 87030525
Scate-ma2 88030532
Scate-ma2 89030714
Scate-ma2 90030746
Scate-ma2 91030972
Scate-ma2 96032753
Scate-ma2 97032758
Scate-ma2 99034984
Scate-ma2 100035049
Scate-ma2 101037772
Scate-ma2 102039032
Scate-ma2 105040304
Scate-ma2 107040926
Scate-ma2 111044871
Scate-ma2 114045235
Scate-ma2 118045689
Scate-ma2 120045855
Scate-ma2 123046964
Scate-ma2 124047241
Scate-ma2 127048479
Scate-ma2 128048834
Scate-ma2 129049360
Scate-ma2 131051361
Scate-ma2 133052596
Scate-ma2 135053011
Scate-ma2 137056277
Scate-ma2 138056986
Scate-ma2 139059389
Scate-ma2 140059672
Scate-ma2 141059920
Scate-ma2 142060327
Scate-ma2 146062071
Scate-ma2 147062648
Scate-ma2 148062844
Scate-ma2 149063088
Scate-ma2 151063162
Scate-ma2 153063885
Scate-ma2 157064474
Scate-ma2 158064542
Scate-ma2 160064797
Scate-ma2 163065643
Scate-ma2 165066259
Scate-ma2 170067804
Scate-ma2 171068433
Scate-ma2 172068494
Scate-ma2 175069083
Scate-ma2 177069661
Scate-ma2 179069900
Scate-ma2 180072010
Scate-ma2 181072195
Scate-ma2 183072328
Scate-ma2 184072861
Scate-ma2 185073665
Scate-ma2 187074340
Scate-ma2 188075476
Scate-ma2 190076027
Scate-ma2 194076981
Scate-ma2 195077020
Scate-ma2 197078373
Scate-ma2 198078451
Scate-ma2 200080161
Scate-ma2 201081070
Scate-ma2 203082121
Scate-ma2 204082199
Scate-ma2 205083568
Scate-ma2 206083666
Scate-ma2 207083676
Scate-ma2 210084059
Scate-ma2 211086161
Scate-ma2 212086233
Scate-ma2 213086267
Scate-ma2 214086294
Scate-ma2 215086297
Scate-ma2 218090069
Scate-ma2 222090960
Scate-ma2 223091019
Scate-ma2 227094291
Scate-ma2 228094376
Scate-ma2 230094918
Scate-ma2 231094929
Scate-ma2 236095696
Scate-ma2 238095867
Scate-ma2 239096000
Scate-ma2 240096049
Scate-ma2 241096526
Scate-ma2 242096603
Scate-ma2 244098825
Scate-ma2 245098945
Scate-ma2 246099611
Scate-ma2 247099740
Scate-ma2 249100036
Scate-ma2 251100139
Scate-ma2 254101149
Scate-ma2 255101272
Scate-ma2 257104789
Scate-ma2 259105181
Scate-ma3 509
Scate-ma3 1001165
Scate-ma3 5001379
Scate-ma3 6001555
Scate-ma3 7005700
Scate-ma3 9005956
Scate-ma3 10005958
Scate-ma3 13006159
Scate-ma3 14006817
Scate-ma3 15007208
Scate-ma3 16007966
Scate-ma3 21010212
Scate-ma3 22010343
Scate-ma3 23010444
Scate-ma3 24011470
Scate-ma3 26012305
Scate-ma3 27012574
Scate-ma3 29012983
Scate-ma3 30013496
Scate-ma3 31014079
Scate-ma3 33014884
Scate-ma3 34019311
Scate-ma3 36019808
Scate-ma3 38020038
Scate-ma3 39020202
Scate-ma3 40020672
Scate-ma3 43024739
Scate-ma3 48028802
Scate-ma3 49029787
Scate-ma3 50029800
Scate-ma3 51030204
Scate-ma3 52030308
Scate-ma3 53030463
Scate-ma3 55036424
Scate-ma3 56036432
Scate-ma3 57036655
Scate-ma3 58040184
Scate-ma3 62042014
Scate-ma3 63042091
Scate-ma3 64042226
Scate-ma3 65042229
Scate-ma3 66042330
Scate-ma3 67042339
Scate-ma3 68042962
Scate-ma3 69043000
Scate-ma3 71044774
Scate-ma3 72044864
Scate-ma3 74045350
Scate-ma3 76045772
Scate-ma3 77045790
Scate-ma3 79046448
Scate-ma3 81047370
Scate-ma3 85048737
Scate-ma3 86048960
Scate-ma3 92052712
Scate-ma3 93053024
Scate-ma3 94054241
Scate-ma3 96055728
Scate-ma3 98056053
Scate-ma3 102057113
Scate-ma3 103057142
Scate-ma3 104057179
Scate-ma3 105057949
Scate-ma3 109058822
Scate-ma3 112061409
Scate-ma3 114061575
Scate-ma3 115062793
Scate-ma3 117063254
Scate-ma3 120063575
Scate-ma3 125068274
Scate-ma3 126068322
Scate-ma3 129069199
Scate-ma3 131069596
Scate-ma3 133070108
Scate-ma3 134070128
Scate-ma3 135070158
Scate-ma3 136071094
Scate-ma3 143075360
Scate-ma3 144075457
Scate-ma3 145075815
Scate-ma3 147075945
Scate-ma3 149077314
Scate-ma3 151077780
Scate-ma3 153078278
Scate-ma3 155079985
Scate-ma3 157081098
Scate-ma3 158081515
Scate-ma3 159081759
Scate-ma3 160081883
Scate-ma3 161081974
Scate-ma3 163083428
Scate-ma3 164084166
Scate-ma3 165084188
Scate-ma3 167084425
Scate-ma3 169085352
Scate-ma3 170085464
Scate-ma3 172085486
Scate-ma3 175087293
Scate-ma3 177090995
Scate-ma3 178091010
Scate-ma3 183094813
Scate-ma3 186095085
Scate-ma3 187095090
Scate-ma3 189095172
Scate-ma3 190095280
Scate-ma3 191095377
Scate-ma3 195098121
Scate-ma4 3011811
Scate-ma4 5012078
Scate-ma4 6012087
Scate-ma4 8012254
Scate-ma4 10014620
Scate-ma4 14018037
Scate-ma4 16018742
Scate-ma4 20020229
Scate-ma4 23020972
Scate-ma4 27023413
Scate-ma4 28023455
Scate-ma4 30025204
Scate-ma4 31025273
Scate-ma4 33026382
Scate-ma4 34026892
Scate-ma4 35026957
Scate-ma4 36027625
Scate-ma4 38029248
Scate-ma4 39030902
Scate-ma4 41032705
Scate-ma4 42035563
Scate-ma4 44036801
Scate-ma4 49039313
Scate-ma4 53043796
Scate-ma4 54043874
Scate-ma4 55044327
Scate-ma4 58045228
Scate-ma4 59046262
Scate-ma4 60046369
Scate-ma4 61046933
Scate-ma4 62047009
Scate-ma4 68050744
Scate-ma4 69050765
Scate-ma4 70050790
Scate-ma4 71051543
Scate-ma4 72058497
Scate-ma4 73059341
Scate-ma4 77060343
Scate-ma4 78060843
Scate-ma4 82066620
Scate-ma4 85066737
Scate-ma4 86067558
Scate-ma4 87067730
Scate-ma4 91070334
Scate-ma4 94070833
Scate-ma4 96071079
Scate-ma4 100071540
Scate-ma4 101071998
Scate-ma4 102072006
Scate-ma4 106072498
Scate-ma4 108072846
Scate-ma4 110073932
Scate-ma4 111075329
Scate-ma4 113076902
Scate-ma4 114077669
Scate-ma4 115077669
Scate-ma5 1807
Scate-ma5 1001811
Scate-ma5 5002617
Scate-ma5 6002665
Scate-ma5 8002841
Scate-ma5 10003579
Scate-ma5 11003628
Scate-ma5 14003852
Scate-ma5 16006754
Scate-ma5 19009257
Scate-ma5 20009814
Scate-ma5 21010015
Scate-ma5 22010174
Scate-ma5 23010447
Scate-ma5 27011426
Scate-ma5 29011700
Scate-ma5 30011894
Scate-ma5 32012105
Scate-ma5 39015727
Scate-ma5 40016653
Scate-ma5 44017267
Scate-ma5 46025262
Scate-ma5 48025873
Scate-ma5 51026515
Scate-ma5 52026539
Scate-ma5 56031901
Scate-ma5 59032861
Scate-ma5 60033107
Scate-ma5 61033442
Scate-ma5 62033519
Scate-ma5 63033533
Scate-ma5 67034385
Scate-ma5 71036443
Scate-ma5 72037423
Scate-ma5 73037578
Scate-ma5 74037613
Scate-ma5 76038716
Scate-ma5 78040721
Scate-ma5 79041535
Scate-ma5 80041663
Scate-ma5 85042327
Scate-ma5 87042508
Scate-ma5 88042835
Scate-ma5 93044252
Scate-ma5 94044383
Scate-ma5 95044386
Scate-ma6 2000211
Scate-ma6 3000237
Scate-ma6 5000615
Scate-ma6 6000631
Scate-ma6 8000802
Scate-ma6 9000827
Scate-ma6 11001056
Scate-ma6 13004619
Scate-ma6 14004910
Scate-ma6 16005326
Scate-ma6 17005748
Scate-ma6 19006065
Scate-ma6 21006090
Scate-ma6 22006334
Scate-ma6 23006358
Scate-ma6 24006393
Scate-ma6 25006597
Scate-ma6 26007568
Scate-ma6 28008870
Scate-ma6 32017095
Scate-ma6 37023042
Scate-ma6 38029275
Scate-ma6 39032739
Scate-ma6 40033347
Scate-ma6 45040763
Scate-ma6 48042446
Scate-ma6 49042457
Scate-ma6 51043386
Scate-ma6 52045759
Scate-ma6 55046237
Scate-ma6 58047719
Scate-ma6 59048660
Scate-ma6 63049877
Scate-ma6 64050019
Scate-ma6 66050446
Scate-ma6 67056503
Scate-ma6 68056510
Scate-ma6 70057415
Scate-ma6 72060650
Scate-ma6 74060883
Scate-ma6 75060903
Scate-ma6 76061134
Scate-ma6 77061709
Scate-ma6 79061935
Scate-ma6 81061977
Scate-ma6 83063252
Scate-ma6 85063555
Scate-ma6 86063681
Scate-ma6 87063706
Scate-ma6 88063734
Scate-ma6 89063829
Scate-ma7 2930
Scate-ma7 2003202
Scate-ma7 7003585
Scate-ma7 10004799
Scate-ma7 12007479
Scate-ma7 13007630
Scate-ma7 16008036
Scate-ma7 18009030
Scate-ma7 20011205
Scate-ma7 21011348
Scate-ma7 25011871
Scate-ma7 26012059
Scate-ma7 27012963
Scate-ma7 29014303
Scate-ma7 30014350
Scate-ma7 31014574
Scate-ma7 32014582
Scate-ma7 37017318
Scate-ma7 44019520
Scate-ma7 48020048
Scate-ma7 49020186
Scate-ma7 50020271
Scate-ma7 51020318
Scate-ma7 55025288
Scate-ma7 57027909
Scate-ma7 58030307
Scate-ma7 59030542
Scate-ma7 60030614
Scate-ma7 61035651
Scate-ma7 66035985
Scate-ma7 67035995
Scate-ma7 68036676
Scate-ma7 71038148
Scate-ma7 72038362
Scate-ma7 75038475
Scate-mi1 1156
Scate-mi1 2001780
Scate-mi1 5006437
Scate-mi1 6007280
Scate-mi1 8007787
Scate-mi1 9008694
Scate-mi1 15017939
Scate-mi1 17018044
Scate-mi1 18018144
Scate-mi1 21018659
Scate-mi1 22019700
Scate-mi1 24020037
Scate-mi1 25020278
Scate-mi1 26020474
Scate-mi10 3063
Scate-mi10 2003968
Scate-mi10 3004098
Scate-mi10 4004105
Scate-mi10 5004250
Scate-mi10 6005019
Scate-mi2 574
Scate-mi2 2001586
Scate-mi2 3001599
Scate-mi2 4001804
Scate-mi2 5001836
Scate-mi2 6001873
Scate-mi2 8001953
Scate-mi2 9001978
Scate-mi2 11002707
Scate-mi2 13003111
Scate-mi2 16003153
Scate-mi2 17003796
Scate-mi2 18004010
Scate-mi2 21005542
Scate-mi3 2758
Scate-mi3 3005514
Scate-mi3 7006529
Scate-mi3 8006577
Scate-mi3 9007067
Scate-mi3 12009528
Scate-mi3 14012083
Scate-mi3 16013315
Scate-mi3 17013936
Scate-mi4 76
Scate-mi4 1000148
Scate-mi4 2000275
Scate-mi4 4001004
Scate-mi4 5002103
Scate-mi4 6002602
Scate-mi4 7002614
Scate-mi4 12004415
Scate-mi4 13005058
Scate-mi4 14005204
Scate-mi4 15005217
Scate-mi4 16005439
Scate-mi4 17005446
Scate-mi5 1512
Scate-mi5 1001560
Scate-mi5 3003863
Scate-mi5 5006989
Scate-mi5 6007015
Scate-mi5 8010941
Scate-mi5 9011170
Scate-mi5 13013841
Scate-mi5 15014976
Scate-mi6 2001572
Scate-mi6 4002643
Scate-mi6 5002699
Scate-mi6 6002803
Scate-mi6 8002847
Scate-mi6 10003062
Scate-mi6 11003065
Scate-mi6 12003270
Scate-mi6 13003287
Scate-mi6 15003628
Scate-mi6 16003792
Scate-mi7 33
Scate-mi7 1001084
Scate-mi7 5005431
Scate-mi7 7006792
Scate-mi7 9006921
Scate-mi7 10007117
Scate-mi8 1001536
Scate-mi8 4001844
Scate-mi8 5001844
Scate-mi8 7003354
Scate-mi8 8003445
Scate-mi8 9003621
Scate-mi9 459
Scate-mi9 1000481
Scate-mi9 2002024
Scate-mi9 3002265
Scate-mi9 8015668
Scate-un1 4632
Scate-un1 1015640
